id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
_1309511675247116288,_52379394,"A recap of President Trump's America First Healthcare Plan:

A pinky promise to protect people with pre-existing co… https://t.co/gQAcOdTuP5",2020-09-25 15:14:47,None,,None,Oakland  CA,94,56,28245,en
_1327616610631372800,_2178775035,"Last/ 

I shouldn’t need to add  but this has profoundly bothered me for many months because of the confusion cause… https://t.co/ZwB07YRQ56",2020-11-14 14:17:20,None,,None,Geneva  Switzerland,118,29,45455,en
_1327616576120623106,_2178775035,1/ Re-sharing this thorough systematic review &amp; meta-analysis of % asymptomatic infection &amp; asymptomatic /presympto… https://t.co/so9ekxElZX,2020-11-14 14:17:12,None,,None,Geneva  Switzerland,239,126,45455,en
_1327616588758065153,_2178775035,"5/ 3️⃣What % of #SARSCOV2 transmission is by people who are either asymptomatic or presymptomatic?

Findings: The S… https://t.co/dXlS7Dnhw9",2020-11-14 14:17:15,None,,None,Geneva  Switzerland,32,7,45455,en
_1293344524731691008,_712012171031420928,1/ There are various tweets misinterpreting COVID-19 “pre-existing immunity” and making dangerous claims about herd… https://t.co/pPNtUmWOSm,2020-08-12 00:32:18,None,,None,La Jolla  San Diego,3937,2352,25284,en
_1301545759154802692,_29780473,To those who are twisting the PCR article to think this is why US numbers are lower: a big NOPE. People who test po… https://t.co/h5ci2tkCWW,2020-09-03 15:41:05,None,,None,,223,42,43556,en
_1343203426558210049,_15745368,Put on then as God’s chosen ones holy &amp; beloved  heartfelt compassion kindness humility gentleness &amp; patience beari… https://t.co/boJ625xUjg,2020-12-27 14:33:47,None,,None,United States,2660,294,4209362,en
_1343221417287016448,_15745368,"Dr. Fauci lied about masks in March 

Dr. Fauci has been distorting the level of vaccination needed for herd immuni… https://t.co/C0BfjavhPH",2020-12-27 15:45:16,None,,None,United States,41384,9626,4209362,en
_1343603448294596617,_138609858,"gonna pre-emptively give @politifact a “pants on 🔥🔥🔥” rating on their forthcoming ""fact check"" of @marcorubio’s… https://t.co/Kp8PT3s4JP",2020-12-28 17:03:19,None,,None,Maryland,9,1,3724,en
_1330896004544073728,_168810457,The internet is full of breathless accusations that Gov. Cooper’s daughter got married in a huge event over the wee… https://t.co/cpWRIo9eH8,2020-11-23 15:28:28,None,,None,Raleigh  NC,151,17,2578,en
_1237774421307228160,_14499829,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/aPFXT3ex5y,2020-03-11 16:16:33,None,,None,Geneva  Switzerland,8362,7605,9036345,en
_1327108369849544706,_27743648,We know there’s been some incorrect information being reported around safety/entry requirements and want to ensure… https://t.co/FXJxdfijcz,2020-11-13 04:37:46,None,,None,Hollywood  CA,568,183,420897,en
_1334250954921824261,_1113747629282930688,An utterly bizarre claim. No #SARSCoV2 vaccine 'contains Syncitin-1'. Syncitin-1 (ERVW-1) is a gene found in primat… https://t.co/k5TBCBKYvd,2020-12-02 21:39:51,None,,None,Soon surrounded by wildlife,331,74,83396,en
_1334281918507053064,_1113747629282930688,@MichaelYeadon3 I believe the very limited regions of homology between #SARSCoV2 spike and Syn1 are too short/imper… https://t.co/O8BzxZU9Lv,2020-12-02 23:42:53,None,,None,Soon surrounded by wildlife,96,17,83396,en
_1334593620863823892,_1330596491950497792,After aligning  we see the region of interest in the black box and mentioned in this tweet from Dr. Yeadon. You can… https://t.co/bQpZQd5C3R,2020-12-03 20:21:29,None,,None,,104,16,7688,en
_1334593625758588929,_1330596491950497792,"What if I just select random human proteins and align with the spike from SARS-CoV-2? 

Let’s start with actin. Sma… https://t.co/bMgc18aWqV",2020-12-03 20:21:30,None,,None,,113,10,7688,en
_1334593631378960386,_1330596491950497792,Let’s do another. How about collagen (COL1A1)? Again  we find a four of five amino acids aligning.… https://t.co/unfAOm168w,2020-12-03 20:21:31,None,,None,,92,6,7688,en
_1334593637355835396,_1330596491950497792,Another? Hemoglobin (HGB1)? Ambitious  because it’s a small protein so the chance of finding homologous regions is… https://t.co/Eb7WrJtFrd,2020-12-03 20:21:33,None,,None,,99,8,7688,en
_1334814595425464320,_1196531968692887555,3d) So here’s the SARS-CoV-2 spike versus human syncytin-1. The best it can do are a few short stretches of 20-30%… https://t.co/eJuhTThecO,2020-12-04 10:59:33,None,,None,,14,1,662,en
_1306037072914866178,_2887865951,"A few comms on the (lack of) scientific merits of the ""Yan Report"". It is non-scientific and false - cherry picking… https://t.co/3SQtuBZHSm",2020-09-16 01:07:57,None,,None,La Jolla  CA,1189,602,48958,en
_1306040554044551173,_2559918498,And despite the online lies and malicious editing of my Wikipedia page  I have never received any funds from China … https://t.co/87IDQjdlcB,2020-09-16 01:21:47,None,,None,Sydney  Australia,83,8,11849,en
_1306041057440743424,_2559918498,I do work closely with some Chinese scientists and as that directly led to the first release of the genome sequence… https://t.co/m0D53MWSBy,2020-09-16 01:23:47,None,,None,Sydney  Australia,63,9,11849,en
_1306037079478919168,_2887865951,"- ""Proximal Origin"" paper authors are conflicted.

Not correct - my lab has never received funding from China and w… https://t.co/MPxe3vGaP2",2020-09-16 01:07:59,None,,None,La Jolla  CA,161,23,48958,en
_1306037076081614848,_2887865951,"- ""SARS-CoV-2 was created using ZC45 and/or ZXC21 bat coronaviruses"".

This simply can't be true - there are more t… https://t.co/Bcdv2U1MCh",2020-09-16 01:07:58,None,,None,La Jolla  CA,263,55,48958,en
_1336800590396076032,_364593753,A disinformation campaign aimed at undermining confidence in the COVID-19 vaccine is upon us. Here are a few claims… https://t.co/thc6e4YNjE,2020-12-09 22:31:11,None,,None,St Petersburg  FL,236,91,8588,en
_1334625146808590336,_3195865372,CDC admits old “science” was wrong  says new “science” is only a 7-day quarantine after close contact followed by n… https://t.co/ibO2Ha6EAb,2020-12-03 22:26:45,None,,None,,5,0,2343,en
_1257392351112302594,_67069351,2/ 445 close contacts of 10 #COVID19 cases were followed up  of those 54 (12%) developed symptoms  suggesting secon… https://t.co/muduclu1Pw,2020-05-04 19:31:12,None,,None,Scotland ,615,167,133658,en
_1281770925680209920,_902835978,Our new division  Aardvark Mobile Health’s Mobile Covid-19 Testing Truck is now available to governmental agencies… https://t.co/I8LVr0lYb4,2020-07-11 02:02:57,None,,None,Philadelphia  PA,7,2,381,en
_1274489632886075398,_28587919,"Here’s just a few of the #BlackVoicesForTrump at tonight’s rally!  Having a fantastic time!

#TulsaRally2020… https://t.co/E0v2PpYxp9",2020-06-20 23:49:42,None,,None,Stockbridge  Georgia,31737,8712,473012,en
_1305743494913245184,_3238448948,Tonight an odd research institute released a bizarre and unfounded preprint claiming an engineered origin to the SA… https://t.co/6sv5QsT09l,2020-09-15 05:41:23,None,,None,Duwamish Lands (Seattle),2787,1418,133740,en
_1268270867399634944,_24918951,If you catch the #coronavirus  what are your chances of having no symptoms? Probably around 40%. But you can still… https://t.co/ryqHWi9VnG,2020-06-03 19:58:32,None,,None,San Diego  CA,378,261,970,en
_1300501431405998083,_178704027,@JaniceHagan2 @MaryamHenein This Sunday the CDC Quietly Updated COVID-19 Numbers on their own website (hoping we wo… https://t.co/rjguLBOOVw,2020-08-31 18:31:18,None,,None,USA 🇺🇸,8,6,2453,en
_1275595167936868352,_1647829928,"What is #herdimmunity threshold for #COVID19?
A topic of much discussion due to large uncertainty &amp; huge consequenc… https://t.co/Os3tuShE6Q",2020-06-24 01:02:42,None,,None,Univ California Santa Cruz,131,60,9680,en
_1339266283536314370,_27922157,In March  AMA urged caution about prescribing hydroxychloroquine off-label to treat #COVID19. Our position remains… https://t.co/RtPHQ8BWIG,2020-12-16 17:48:59,None,,None,Chicago/Washington D.C.,286,129,741274,en
_1253147796481302531,_806344552718045184,Covid-19! The most common questions. https://t.co/BRFDY1yOPG,2020-04-23 02:24:51,None,,None,Los Angeles  CA,56,24,226672,en
_1253148408774135808,_806344552718045184,"What is ""flattening the curve"" and have we done that? https://t.co/y0TBb8yfmp",2020-04-23 02:27:17,None,,None,Los Angeles  CA,43,20,226672,en
_1288080914984181762,_22650211,.@ABC NEWS EXCLUSIVE: Dr. Anthony Fauci speaks to @GStephanopoulos about his response to Pres. Trump’s tweets  how… https://t.co/WwtIFnHTcH,2020-07-28 11:56:36,None,,None,New York  NY,673,236,3741596,en
_1334837962060730369,_7744592,"Will you accept President-elect Biden's offer to serve as his chief medical adviser? -@SavannahGuthrie

Absolutely … https://t.co/NJREZHp2SS",2020-12-04 12:32:24,None,,None,Studio 1A,3520,409,4237683,en
_1287927756412653569,_40319114,@kevinroose Yes  we removed it for sharing false information about cures and treatments for COVID-19.,2020-07-28 01:48:00,None,,None,Washington  DC,516,86,8646,en
_1339000745945931776,_36528126,American Medical Association Rescinds Hydroxychloroquine Prevention Order -- How Many People Died Because These Sou… https://t.co/6ZNhLqKE5Q,2020-12-16 00:13:49,None,,None,Hollywood,8066,2728,1533095,en
_1352073098183360513,_4175759465,Amazing that someone can tweet something like this  which is both absolute nonsense and NOT EVEN RELATED TO THE SCR… https://t.co/FCilZYoaGq,2021-01-21 01:58:41,None,,None,Sydney  New South Wales,158,26,32236,en
_1339286656663359494,_965984730310115333,"CDC COVID-19 Survival Rates

Age 0-19 — 99.997%
Age 20-49 — 99.98%
Age 50-69 — 99.5%
Age 70+ — 94.6%

Why is a COVI… https://t.co/d02KgHqry1",2020-12-16 19:09:56,None,,None,United States,53,26,9223,en
_1339200313153163266,_20522862,"JUST NOW:  ""I will be happy to supply him technical assistance.""

Admiral Brett Giroir throws shade on… https://t.co/xrlkYWobKD",2020-12-16 13:26:50,None,,None,New York,142,30,142130,en
_1352748139665645569,_337808606,#HankAaron's tragic death is part of a wave of suspicious deaths among elderly closely following administration of… https://t.co/H7KrnhghfI,2021-01-22 22:41:03,None,,None,Los Angles  California,10792,7656,225403,en
_1339979419511906304,_742414177545953280,FACT CHECK: You may have seen this video circulating on social media of a Chattanooga nurse who fainted during a pr… https://t.co/yMWt1YLMlI,2020-12-18 17:02:43,None,Chattanooga,None,Chattanooga  TN,50,38,1270,en
_1339066634296844288,_23022687,"This is a bizarre  lunatic  totalitarian cult. 

It’s not about vaccines or  protecting people’s lives—it is instea… https://t.co/bCZV1zZ87J",2020-12-16 04:35:38,None,,None,Houston  Texas,26420,6779,4324051,en
_1330360255449100294,_23022687,https://t.co/HSCSdXkst9,2020-11-22 03:59:36,None,,None,Houston  Texas,71825,11285,4324051,und
_1344225883188555777,_137997171,We were delighted to welcome Margaret Keenan back to University Hospital  Coventry to safely receive the second dos… https://t.co/pz79jV6ceb,2020-12-30 10:16:39,None,,None,Coventry and Warwickshire,217,37,13336,en
_1358707497356394498,_705694814612938752,"Q: Is the #COVID19 vaccine in Nigeria?

A: Not yet. @NigeriaGov through @NphcdaNG is leading Nigeria's efforts to a… https://t.co/IWfWRUzOQ2",2021-02-08 09:21:25,None,,None,Abuja  Nigeria,66,35,1183631,en
_1263195773451239426,_19740592,An exclusive interview with Rep. Alexandria Ocasio-Cortez @AOC. Her take on the pandemic’s impact on African-Americ… https://t.co/S3mBPci8Y2,2020-05-20 19:51:56,None,,None,New York  USA,1158,204,1177607,en
_1263205354453729280,_19740592,Rep. Alexandria Ocasio-Cortez on whether or not enough has been done to help protect essential workers - those most… https://t.co/v5SkZK6SwF,2020-05-20 20:30:00,None,,None,New York  USA,1629,345,1177607,en
_1263249922243133442,_18950931,.@aoc tells me @nightline toinght that  essential workers 'keep the lights on in our society'  but historically hav… https://t.co/1YvA7H8Yvt,2020-05-20 23:27:06,None,,None,NYC (retweets not endorsement),3930,688,52676,en
_1263277224951721986,_14335586,.@AOC: The great irony of essential workers is that they have typically been underpaid  under-recognized and under-… https://t.co/Z5UoQpc7aD,2020-05-21 01:15:35,None,,None,Washington  DC,6219,1543,432836,en
_1275899703700291584,_25132061,We're seeing some social media posts in which people are under the impression that wearing a mask and carrying conc… https://t.co/VV8wP8YcMM,2020-06-24 21:12:49,None,,None,Utah,137,53,30564,en
_1252330402687053824,_86626845,A new #COVID19 serology report from @USC and @CountyofLA seems like a replay of the Santa Clara problems with the a… https://t.co/531ii5BBZI,2020-04-20 20:16:49,None,,None,La Jolla  CA,88,48,388223,en
_1356095992320421895,_17537467,Fighting Covid19 one teardrop at a time. https://t.co/ET1PPW3EpZ,2021-02-01 04:24:14,None,Toronto,None,Toronto  Ontario,1254,314,694394,en
_1270093309126438912,_1647829928,Protestors&amp;others: A negative test for COVID-19 does NOT RULE OUT INFECTION if you don't have symptoms (&amp; it's not… https://t.co/w3TxGHNJwY,2020-06-08 20:40:16,None,,None,Univ California Santa Cruz,292,148,9680,en
_1275815218317230081,_851415276,"@DrEricBall 💯 my friend 😷🙌🏼

And that’s with nail polish on as well!! https://t.co/RA99bFCsOV",2020-06-24 15:37:06,None,,None,Cincinnati  OH,1834,152,12231,en
_1277765139731709952,_807337182,I made a discovery (and yes you can try this at home) https://t.co/24SsN7I82c,2020-06-30 00:45:23,None,,None,Murray  UT,1562,390,46160,en
_1250144533796528129,_716004212,Una médica ginecóloga de Barcelona se ha encontrado este mensaje pintado en su coche cuando ha bajado al garaje com… https://t.co/klHCky99eQ,2020-04-14 19:30:58,None,,None,Madrid,17818,12928,40462,es
_1250799802142658568,_716004212,La ginecóloga Silvana Bonino ha denunciado ante los Mossos d’Esquadra una pintada en su coche particular en la que… https://t.co/9kZOqZxilg,2020-04-16 14:54:46,None,,None,Madrid,16,8,40462,es
_1250384014176813058,_238497099,En nombre de la Junta de gobierno del @COMBarcelona condeno enérgicamente este acto vandálico de agresión contra un… https://t.co/YQyAhVcpKE,2020-04-15 11:22:34,None,,None,Barcelona-Catalonia-EU,177,73,20830,es
_1346598799993667588,_1278451134,"I was proud to get the COVID-19 vaccine earlier today at Morehouse School of Medicine.  I hope you do the same! 

https://t.co/RAlkmkCRra",2021-01-05 23:25:47,None,,None,Atlanta  Georgia,10545,1923,70612,en
_1281677454361362433,_420536762,@LegionOfMaryTO @TOPublicHealth We have been in contact with local health officials. They are aware of and have app… https://t.co/DW5UzzzENy,2020-07-10 19:51:32,None,,None,Toronto  Canada,109,32,10638,en
_1278400526716211200,_86626845,"When we don't measure important stuff.
A thread about the immune response to #SARSCoV2
1. Since serology/IgG can be… https://t.co/D9j30dPQtK",2020-07-01 18:50:11,None,,None,La Jolla  CA,1415,734,388223,en
_1275800328785416192,_3010738968,MASKS DO NOT CAUSE HYPOXIA! https://t.co/9H6JVUm8td,2020-06-24 14:37:56,None,,None,Irvine  CA,118732,36595,1896,en
_1265553065056362497,_805821989336313856,"According to the CDC  so far this year  Florida has had 1 762 deaths from #COVID and 5 185 from pneumonia.

Average… https://t.co/ba2cFzLPs5",2020-05-27 07:58:58,None,,None,Ruckersville  VA,41430,17387,2499,en
_1266213763604152321,_1383272101,COVID-19 may be under control in Florida but they have an unprecedented “pneumonia” crisis.,2020-05-29 03:44:21,None,,None,,93116,23388,664435,en
_1253761766787555335,_28635386,"Protesters at state Capitol are chanting ""Where's our flag?"" and pointing to the Capitol  saying it's a ""disgrace""… https://t.co/m2Cxs5WZUI",2020-04-24 19:04:33,None,,None,Madison  Wisconsin,626,214,26830,en
_1253766698349576200,_28635386,"Flying today:

East Wing: US flag and Wisconsin state flag

North Wing: POW-MIA flag

South Wing: US flag flown by… https://t.co/AoYAWQS8Y0",2020-04-24 19:24:09,None,,None,Madison  Wisconsin,92,16,26830,en
_1261516669341532161,_91882544,This is the health director of Los Angeles. Any questions? https://t.co/p6LFOmeZkJ,2020-05-16 04:39:46,None,,None,United States,33144,8588,1711361,en
_1261672194482081792,_91882544,@gnawedtothenub Okay  I got carried away with this one. Thanks for calling me on it,2020-05-16 14:57:46,None,,None,United States,244,3,1711361,en
_1184254666315456512,_890310048970190848,Enemy McDonalds forces have captured and crucified 3 of our soldiers! They will pay dearly for attacking us. https://t.co/WRssAuKwxV,2019-10-15 23:48:09,None,,None,Baghdad  Iraq,9,0,570,en
_1265003614994644992,_855240223432769538,"These people have been lying about my record since the day I became a candidate.

It hasn't stopped  and it won't s… https://t.co/y74bQyl3Lg",2020-05-25 19:35:39,None,,None,Mount Lebanon  PA,17729,4229,148073,en
_1224506134100230144,_3794682452,"🇶: Can gargling mouthwash protect you from infection with the new coronavirus (2019-nCoV)?
🇦: There is no evidence… https://t.co/aBd8w1eAQ6",2020-02-04 01:33:07,None,,None,Manila  Philippines,45,34,194530,en
_1254484507320676352,_3238448948,The problem with this approach is that during a pandemic  the people who come into an urgent care clinic are not a… https://t.co/mCheqBnzOQ,2020-04-26 18:56:28,None,,None,Duwamish Lands (Seattle),2831,375,133740,en
_1255168750430584833,_193194851,Residents in Naif area erupted in celebrations following the ease of the 24-hour quarantine measures after recordin… https://t.co/9kciEkVeZv,2020-04-28 16:15:24,None,,None,Dubai UAE,117,26,1789547,en
_1235559583038373888,_1093619068148559872,We need a president who will show up and fight for Michiganders  and @JoeBiden has proven time and again that he ha… https://t.co/h6j8lszO7B,2020-03-05 13:35:34,None,,None,East Lansing  MI,15593,3290,139077,en
_1226922738935353344,_21258337,California Gov. @GavinNewsom calls his state “the most un-Trump state in America”: “Trump is just scared of Califor… https://t.co/jE0GB7d57F,2020-02-10 17:35:50,None,,None,Weekdays 11e|10c|p on ABC,338,65,850105,en
_1256387377297190912,_2172647185,Honest question: why do you think the United States is the only country on earth that is protesting being locked down?,2020-05-02 00:57:47,None,,None,Colorado  USA,1332,202,63981,en
_1255385382734233607,_125215990,SCAM ALERT: There is a hoax COVIDSafe text message circulating. COVIDSafe does not track your location and would no… https://t.co/LAgkpx6efR,2020-04-29 06:36:13,None,,None,Australia,124,141,104690,en
_1264693872342568962,_455831037,A 242 asciende el total histórico de COVID-19 en Risaralda; ya que  tras procesarse 154 muestras una salió positiva… https://t.co/SE7lEbzfSm,2020-05-24 23:04:50,None,,None,Risaralda  Colombia,18,7,30554,es
_1260184746618953728,_305216911,"Question: Will this bill allow people to come to your house and take your temperature against your will? 

Answer:… https://t.co/bxGKHmEEX6",2020-05-12 12:27:11,None,,None,Chicago  IL,13,4,35936,en
_1258563496356319232,_816652616625168388,Today  I led a letter to President @realDonaldTrump  urging him to reject calls to provide additional funds to stat… https://t.co/sxA9WLifHk,2020-05-08 01:04:55,None,,None,Arizona  USA,726,220,285212,en
_1257761907131461645,_237446906,Catching up with @CBS6SteveM about the financial markets and the state pension fund. We're well-funded and strong … https://t.co/zkB4mXAYtE,2020-05-05 19:59:41,None,,None,New York,13,4,17688,en
_1258783224240771078,_15418628,Additional context to @jimmykimmel segment. With 75 000 Americans dead  Pence is joking about about empty boxes of… https://t.co/J6yccLuCdm,2020-05-08 15:38:02,None,,None,RI → DC → NYC,5941,1461,89629,en
_1258796512328351745,_26053643,it would appear that @vp was joking about carrying empty boxes for a staged publicity stunt. The full video reveals… https://t.co/jRMwxpGjrJ,2020-05-08 16:30:50,None,,None,Los Angeles,79804,14387,12023313,en
_1258765030411186177,_304932002,This isn't true. The clip cuts out at a selective point. When you watch the CSPAN footage (9 min in)  Pence makes t… https://t.co/rPa3vpVAj2,2020-05-08 14:25:44,None,,None,New York,11426,3892,94568,en
_1258772131984412673,_346197350,fwiw  if you watch the actual video  pence is joking about unloading the empty boxes - he shuts the van doors right… https://t.co/7VVjcKomZ4,2020-05-08 14:53:57,None,Washington,None,Washington  DC,962,279,41343,en
_1247854465702559745,_372755940,Responsible food distribution with social distancing to assist lower income households in the #COVID19 era! A great… https://t.co/vNsRzrQw6i,2020-04-08 11:51:03,None,,None,Global,9100,3745,1576508,en
_1247953910146519042,_372755940,Thanks to those who have drawn my attention to the food distribution picture I tweeted earlier today. A friend sent… https://t.co/7IYSNORo2v,2020-04-08 18:26:12,None,,None,Global,5160,932,1576508,en
_1260224025084583936,_2458455084,@GovEvers liquor stores are open  strip malls can have 5 customers  but dentists are non-essential?! @VickiMcKenna @EmpowerWi #wiright,2020-05-12 15:03:16,None,,None,Menomonee Falls  Wisconsin,11,6,1523,en
_1254406873928908802,_37963496,News circulating on social media that the first volunteer in a UK #coronavirus vaccine trial has died is completely… https://t.co/yBSU01pVp4,2020-04-26 13:47:59,None,,None,England,1998,1267,710463,en
_1254440535709962245,_146513211,....and here is Dr Elisa Granato in person. Alive and well https://t.co/Csw1WqmBQa,2020-04-26 16:01:44,None,,None,London,2367,735,78563,en
_1259556010408075264,_492833134,Barack Hussain Obama is the first Ex-President to ever speak against his successor  which was long tradition of dec… https://t.co/w8YtD5Tj0j,2020-05-10 18:48:48,None,,None,,17204,6654,191297,en
_1243496858095411200,_3131144855,"Over the last 24 hours I have developed mild symptoms and tested positive for coronavirus.

I am now self-isolating… https://t.co/cMWNOocrLd",2020-03-27 11:15:28,None,,None,United Kingdom,354848,120084,3354102,en
_1255609344541982721,_29442313,If the White House Gift Shop is going to produce $100 COVID-19 coins  Trump can sure as hell utilize the Defense Pr… https://t.co/UaBgXdMDoO,2020-04-29 21:26:10,None,,None,Vermont/DC,6636,1786,12014488,en
_1257973326858813441,_25486810,At £477 per vaccine  multiplied by 65 million people in the UK  The Bill &amp; Melinda Gates Foundation are on course t… https://t.co/Gj9fwdpeXZ,2020-05-06 09:59:47,None,,None,London  ENGLAND,58,35,2262,en
_1246151086702055424,_1227232077776670726,Wtf? Really 🤔🤔🤔🤔 https://t.co/zjKgVhWf7E,2020-04-03 19:02:26,None,,None,UK / USA,20,13,1798,en
_1239398218292748292,_840236394865930240,Text message rumors of a national #quarantine are FAKE. There is no national lockdown. @CDCgov has and will continu… https://t.co/ZulhzkVvme,2020-03-16 03:48:56,None,,None,Washington  DC,25170,12314,173412,en
_1258750892448387074,_15418628,Mike Pence caught on hot mic delivering empty boxes of PPE for a PR stunt. https://t.co/IduvGhiPwj,2020-05-08 13:29:33,None,,None,RI → DC → NYC,262740,97011,89629,en
_1258768464967327747,_304932002,Here I cut the clip. Pence and the other officials lift boxes that clearly weigh something (i.e. contain things). P… https://t.co/PdvPraJFfX,2020-05-08 14:39:23,None,,None,New York,1485,326,94568,en
_1260234681573937155,_248884036,"I've had people tweet at me in the past 24 hours: 

Did the pandemic playbook really exist?  
Was it really a clear… https://t.co/z6U8XJXPFI",2020-05-12 15:45:36,None,,None,Washington  DC,49897,19606,409814,en
_1256642160180559872,_973271407391100928,@DineshDSouza This is their number from today. https://t.co/xPf8zKcSBT,2020-05-02 17:50:12,None,,None,,263,34,312,en
_1256643515703947264,_91882544,@timothy_gumm See for yourself https://t.co/bTFICrr0Ww,2020-05-02 17:55:36,None,,None,United States,1143,353,1711361,en
_1256641587708342274,_91882544,Just like that  CDC reduces its #Coronavirus death count to 37 000. That’s nearly HALF the total they were peddling… https://t.co/5g2jCjcArW,2020-05-02 17:47:56,None,,None,United States,24813,12516,1711361,en
_1254151213777592327,_277068270,Families: We are aware of a fake social media post going around with the @KyDeptofEd logo (as well as a KDE logo th… https://t.co/gt420nNvpS,2020-04-25 20:52:05,None,,None,Frankfort  KY,71,54,24104,en
_1254132635196100614,_51509876,Dear Kentucky parents: The picture below is a hoax.  Please look only to OFFICIAL sources of information  and if yo… https://t.co/gTa7AgEWXO,2020-04-25 19:38:15,None,,None,Frankfort  Kentucky,13,5,5455,en
_1257329473747161088,_1853277890,This man's name is Rob Cantrell. He is a recruiter for Proud Boys and a paid agitator. He lives in California but f… https://t.co/B11RHX1cKZ,2020-05-04 15:21:21,None,,None,,607,624,154,en
_1242152972295036931,_40839292,President #Ramaphosa: While this measure will have a considerable impact on people’s livelihoods  on the life of ou… https://t.co/fh8S7IZ29z,2020-03-23 18:15:21,None,,None,Pretoria  South Africa,102,105,1815425,en
_1244471220730544133,_40156330,Aggressive social distancing measures should stay in place until there's a sustained reduction in the number of… https://t.co/ykuVA1oPqg,2020-03-30 03:47:14,None,,None,Washington  DC,1613,500,455837,en
_1257101690337144832,_40156330,@SeanTrende @RichLowry I hope covid ends up more seasonal  some social distancing persists  and we can see cases co… https://t.co/y2sDVWwZFe,2020-05-04 00:16:13,None,,None,Washington  DC,85,34,455837,en
_1255154156811071491,_818927131883356161,In the initial round of Paycheck Protection Program funding  @SBAgov provided nearly $350 BILLION to more than 1.6… https://t.co/h8gfVV9teu,2020-04-28 15:17:25,None,,None,,1474,411,6093681,en
_1254513987196248065,_770781940341288960,"Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China?

Such grants were prohibited in 2014.

Did Pres.… https://t.co/s1eF1hxpdt",2020-04-26 20:53:36,None,,None,New York  NY,40918,16364,1180458,en
_1247505411558780928,_980267875,FAKENEWS ALERT !!!President @CyrilRamaphosa has NOT asked foreign nationals to leave South Africa  . The President… https://t.co/soNSzcbchM,2020-04-07 12:44:02,None,Pretoria,None,Johannesburg,329,193,428496,en
_1257091819680169984,_225265639,Trump falsely says that Fauci said the virus was no big deal (Fauci  in Feb.  told people they didn't need to chang… https://t.co/K0mK6JVADg,2020-05-03 23:37:00,None,,None,Washington DC,4540,1394,1239198,en
_1257091719289503750,_235196204,Biden wrote no letter of apology,2020-05-03 23:36:36,None,,None,ÜT: 38.9327999 -77.1524351,294,55,147159,en
_1250055033460318209,_225265639,Missed one thing last night: Trump not only claimed Biden apologized for accusing him of xenophobia but that Biden… https://t.co/bA0TQSpRyI,2020-04-14 13:35:19,None,,None,Washington DC,33150,8711,1239198,en
_1223727977361338370,_939091,We are in the midst of a crisis with the coronavirus. We need to lead the way with science — not Donald Trump’s rec… https://t.co/n8vyHlTLL1,2020-02-01 22:01:00,None,,None,Wilmington  DE,13192,3204,28404026,en
_1257358106671157262,_3686482216,As we work to combat #COVID19 in Illinois  we must take an approach that balances the health and economic needs of… https://t.co/lBfbkQYQCB,2020-05-04 17:15:07,None,,None,Dunlap  IL,21,6,17989,en
