id,author,date,content,comments,shares,reactions/all,reactions/likes,reactions/love,reactions/wow,reactions/haha,reactions/sad,reactions/angry,reactions/care,is_valid,fact_checked
3062143997239533,Hospital São José do Avaí,May 13  2020 at 6:15 PM,"Celebrar sempre.
⠀⠀
Estamos felizes com as altas realizadas hoje (13/05)  felizes em ver pacientes que puderam dizer ""Eu venci a Covid-19"".
⠀⠀
Com brilho nos olhos e protagonismo  o time HSJA continua cuidando das pessoas e perpetuando suas histórias.⠀
⠀⠀
Cuidar das pessoas  esse é o nosso DNA.
⠀⠀
#hsja #hospitalsãojosédoavaí #saúde #amorporvidas #compromissocomavida #paixãoporcuidar #doaçãodeórgãos #transplante",259,243,1000,849,153,0,1,0,0,55,true,false
10157510746723901,Hugo Vilela,May 11  2019,O neoliberal e o fascista,43,6,0,0,0,0,0,0,0,0,true,false
2942805002467663,Roberto Legey,May 24  2020,"FICA EM CASA !!!

Enquanto isso  o Governador e seus seguranças estão curtindo Angra dos Reis e NEGOCIANDO MAIS DO DINHEIRO PÚBLICO.

Como é fácil dominar uma POPULAÇÃO!",10,1082,0,0,0,0,0,0,0,0,true,true
10156932511886716,,,,0,0,0,0,0,0,0,0,0,0,false,false
100007108339191,Sorry  something went wrong.,,We are working on it and we'll get it fixed as soon as we can. « Back to Home,0,0,0,0,0,0,0,0,0,0,true,false
2228704050540696,,,,0,0,0,0,0,0,0,0,0,0,false,false
3397823206956511,Joice Hasselmann,December 15  2019 at 1:26 AM,"Gentemmmm!
Os malucos estão circulando vídeo meu em que danço com @jdoriajr - MEU AMIGO E TODOS SABEM - como se fosse um crime ou algo político nisso.
.
João é meu amigo  hoje foi sua festa de aniversário e apesar de estarmos em partidos diferentes e termos algumas posições diferentes  conseguimos conviver com CIVILIDADE. Os doidinhos deviam tentar  pode ser bom para saúde mental!
E se alguém não viu e tá curioso  espie 🙄🙄🙄.
.
P.s: Sou pre-candidata do PSL à prefeitura. João tem outro candidato.
.
Como é possível conviver bem? COM EQUILÍBRIO  SABENDO DISCORDAR COM RESPEITO AO OUTRO!",31000,398,3900,28000,303,37,679,12,113,0,true,false
551507821869260,J Marlen Funez,Dec 10  2017,,0,0,0,0,0,0,0,0,0,0,true,false
10158080782672192,Olavo de Carvalho,April 7  2020 at 10:31 PM,É o fim da picada. Eu nem sabia da existência desse grupo  com o qual  é claro  não tenho nenhum contato. Praticamente TUDO o que essa midia porca escreve a meu respeito é MENTIRA GROSSA. ,0,51,1300,11000,5,12,197,2,23,0,true,false
2674940109280563,Wilian Tonezi,Jan 28  2020,,0,0,0,0,0,0,0,0,0,0,true,false
1842781792537465,Jair Messias Bolsonaro,March 30  2020 at 11:01 PM,"- Algo mudou na OMS?
- Agora se preocupam com os informais?
- Jair Bolsonaro sempre esteve certo? . Link no youtube: https://youtu.be/VKF75XUP0AE",24000,77329,165000,1490000,130000,741,20000,80,434,1,true,false
2655674504667300,Conselho Regional de Farmácia do Estado do Paraná,January 29  2020 at 6:00 PM,Fique atento às fake news: chá de erva-doce não trata gripe nem infecção por coronavírus. #OrientaçãoAoFarmacêutico Dúvidas sobre medicamentos? Entre em contato com o CIM/CRF-PR: https://goo.gl/TSCD54,4,171, 173,168,5,0,0,0,0,0,true,false
